danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature,genre,popularity
0.638,0.256,3,-15.68,1,0.0492,0.819,0.0707,0.145,0.438,82.479,16qzGrIMWoxerw2gnW0zuv,123333,4,Folk,70
0.536,0.775,8,-6.765,1,0.0394,0.228,0.000143,0.0947,0.485,151.393,2ToW7zhGCrVrLU4fiKj9U1,201413,4,Folk,65
0.401,0.364,5,-10.836,1,0.033,0.45,0.0503,0.162,0.224,129.57,3CAX47TnPqTujLIQTw8nwI,328507,4,Folk,71
0.593,0.205,9,-14.601,1,0.0479,0.896,5.46e-05,0.119,0.377,140.279,2hitsKa8SthKhRJBXUHbIv,179760,4,Folk,69
0.439,0.734,2,-12.168,1,0.097,0.262,0.333,0.244,0.54,145.703,3lN8PP6R2IxbLP05QpYXng,212893,4,Folk,68
0.504,0.578,4,-9.302,1,0.031,0.408,0.0,0.321,0.654,132.411,4uGIJG1jYFonGc4LGp5uQL,174840,4,Folk,74
0.762,0.387,10,-8.643,0,0.0277,0.239,0.00756,0.13,0.273,109.959,5Z1U0knfYnsfvZycgDeOiC,239147,4,Folk,65
0.764,0.628,0,-10.961,1,0.048,0.336,0.0,0.0977,0.823,109.008,75Nlnd9AJ4CYrLXgWGsuTF,216387,4,Folk,67
0.553,0.576,0,-13.458,1,0.0304,0.191,0.00664,0.0365,0.457,109.827,3Xls4cNOwy01dtrNXb1inG,298333,4,Folk,73
0.601,0.574,2,-8.166,1,0.03,0.579,1.14e-05,0.216,0.8,147.964,4lJ6YVXQ0jUk5ILu0PSrA4,214080,4,Folk,71
0.365,0.273,4,-16.526,0,0.038,0.94,0.431,0.109,0.238,132.285,0oTtnnedK0C4unALxVTPhz,248965,5,Folk,62
0.401,0.498,4,-10.682,1,0.0757,0.394,0.0,0.13,0.816,181.701,7odHgoLFi3GQ90E9PeraI3,149160,4,Folk,63
0.292,0.324,3,-11.996,1,0.0346,0.797,0.000473,0.12,0.384,176.631,5RgFlk1fcClZd0Y4SGYhqH,201373,3,Folk,73
