endTime,artistName,trackName,msPlayed
12/30/2019 10:48,Party Favor,Wait A Minute - TroyBoi Remix,214153
12/30/2019 10:52,TroyBoi,Frustrated,235424
12/30/2019 10:54,TroyBoi,PAPI CHULO,119154
12/30/2019 10:57,TroyBoi,Laalach,183934
12/30/2019 11:00,TroyBoi,Mantra,194000
12/30/2019 11:04,TroyBoi,Back To The Wall,237857
12/30/2019 11:07,SLUMBERJACK,Solid,198666
12/30/2019 11:11,TroyBoi,Kurta Kente,251009
12/30/2019 11:14,TroyBoi,Dark Lawd,190434
12/30/2019 11:19,TroyBoi,Wavey,260370
12/30/2019 11:19,TroyBoi,Tranquilizer (feat. Adekunle Gold),5443
12/30/2019 20:51,A-Trak,Blaze,296129
12/30/2019 20:55,Moksi,Sunshine,237329
12/30/2019 20:58,Flume,Jewel,193732
12/30/2019 21:01,Baauer,Tep Tep,194625
12/30/2019 21:05,Malaa,Notorious,271219
12/30/2019 21:09,Chris Lake,Turn off the Lights - Cages Remix,208857
12/30/2019 21:12,What So Not,OOGAHDAM!,171210
12/30/2019 21:16,Virtual Self,Ghost Voices,266365
12/30/2019 21:20,AC Slater,Fly Kicks - Wax Motif Remix,278400
12/30/2019 21:24,Tchami,Omega (feat. Ibranovski),205920
12/30/2019 21:27,ANGELZ,Never Enuff,223263
12/30/2019 21:31,Anna Lunoe,303,238567
12/30/2019 21:34,Axwell,Nobody Else - A-Trak Remix,190000
12/30/2019 21:38,Dombresky,Futurmastic,240122
12/30/2019 21:42,Mercer,Your Love,200005
12/30/2019 21:45,Odd Mob,Intrinsic,220645
12/30/2019 21:48,Anna Lunoe,Right Party,169569
12/30/2019 22:56,distinkt,Potion,234626
12/30/2019 22:58,eevee,acid,169516
12/30/2019 23:02,Rippps,Composure,198855
12/30/2019 23:05,Eprom,Humanoid 2.0,213818
12/30/2019 23:09,Kali Uchis,"After The Storm (feat. Tyler, The Creator & Bootsy Collins) - Pete Rock Remix",225026
12/30/2019 23:11,Damu The Fudgemunk,Coco Mango (Boy Scout Remix) [Instrumental],109412
12/30/2019 23:12,Antwon,Turn 2 Die,122958
12/30/2019 23:17,Phlegmatic Dogs,Cuatrocats,254600
12/30/2019 23:21,Commodo,1001,245136
12/30/2019 23:26,DJ Seinfeld,Time Spent Away From U,332394
12/30/2019 23:31,Subjoi,Flashing Lights,282733
12/30/2019 23:32,Sonny Fodera,Insane,161778
12/30/2019 23:34,Black Caviar,You Ain't Gotta Bounce to This (Lean),187489
12/30/2019 23:36,TEK.LUN,Beaucoup (feat. Mick Jenkins),121005
12/30/2019 23:38,Chuck Sutton,Sidewalk (Chuck's Theme),165365
12/30/2019 23:44,DJ Rashad,In Da Club Before Eleven O' Clock,338000
12/30/2019 23:47,DJ Yung Vamp,Stuntin',165918
12/30/2019 23:50,Sinjin Hawke,Source of Conflict,182226
12/30/2019 23:53,Adamn Killa,Roof Roof,178758
12/30/2019 23:57,Sabrina Claudio vs.,Don't Let Me Down - Sabrina Claudio vs. Devault Remix,245000
12/31/2019 00:00,p-rallel,Charmer,192589
12/31/2019 00:03,Glass Animals,Tokyo Drifting (with Denzel Curry),217693
12/31/2019 00:07,CharlestheFirst,Mercy Falls,193500
12/31/2019 00:10,Riton,Catching Feelings,232222
12/31/2019 00:13,Rezz,Life & Death,189142
12/31/2019 00:17,Barclay Crenshaw,The Baddest,204785
12/31/2019 00:20,Lord Apex,Up Early,188000
12/31/2019 00:23,Rhi,Night Driving - Ivy Lab Remix,195416
12/31/2019 00:26,Gesaffelstein,Reset,205439
12/31/2019 00:30,Daktyl,Oscillate (feat. Janelle Kroll),215050
12/31/2019 00:31,Madlib,Anthenaginäó» (?),94386
12/31/2019 00:49,distinkt,Potion,8870
12/31/2019 00:52,Vince Staples,FUN!,171106
12/31/2019 00:54,Ron Suno,PINOCCHIO,125204
12/31/2019 00:57,Anderson .Paak,Bubblin,209093
12/31/2019 01:01,YG,"BIG BANK (feat. 2 Chainz, Big Sean, Nicki Minaj)",237240
12/31/2019 01:04,Arizona Zervas,ROXANNE,163636
12/31/2019 01:06,Travis Scott,HIGHEST IN THE ROOM,175720
12/31/2019 01:10,Chance the Rapper,Hot Shower,225923
12/31/2019 01:13,Young Thug,The London (feat. J. Cole & Travis Scott),200106
12/31/2019 01:15,Comethazine,Walk,96062
12/31/2019 01:17,Tyga,Ayy Macarena,131606
12/31/2019 01:20,Metro Boomin,Space Cadet (feat. Gunna),203266
12/31/2019 01:23,Rico Nasty,Smack a Bitch,138352
12/31/2019 01:26,"Tyler, The Creator",I Ain't Got Time!,206266
12/31/2019 01:29,BROCKHAMPTON,BERLIN,199013
12/31/2019 01:31,Lil Baby,Yes Indeed,142273
12/31/2019 01:34,Rob $tone,Chill Bill (feat. J. Davi$ & Spooks),177184
12/31/2019 01:38,ScHoolboy Q,Man Of The Year,216013
12/31/2019 01:40,Ski Mask The Slump God,Foot Fungus,129546
12/31/2019 01:42,Ski Mask The Slump God,Faucet Failure,145626
