,Unnamed: 0,endTime,artistName,trackName,msPlayed,trackID,duration_ms,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo
85,85,12/30/2019 00:01,Zaire the Zeitgeist,Yamcha,95553,1aJgry6rzakyEgo5foH3Ar,168856.0,2.0,1.0,4.0,0.185,0.953,0.748,0.0,0.347,-7.428,0.183,0.735,104.045
86,86,12/30/2019 00:06,Chance the Rapper,All Night (feat. Knox Fortune),9090,60xaS8mYBKUW4VQQ666N0T,141542.0,2.0,1.0,4.0,0.0358,0.704,0.777,0.0,0.151,-5.729,0.195,0.392,111.921
87,87,12/30/2019 00:06,Disclosure,January - Kaytranada Edition,5870,5VZKuCbXNF1oYVOU1m1hEW,321770.0,10.0,0.0,4.0,0.0124,0.758,0.625,0.00135,0.361,-9.693,0.45,0.672,119.931
88,88,12/30/2019 00:06,Teedra Moses,Be Your Girl (Kaytranada Edition),258510,38spM0LahLUfQhOMAqA7AI,268087.0,6.0,0.0,4.0,0.208,0.864,0.682,5.27e-06,0.1,-6.73,0.386,0.268,115.012
89,89,12/30/2019 00:22,MGMT,Electric Feel,176727,3FtYbEfBqAlGO46NUDQSAt,229640.0,1.0,1.0,3.0,0.0714,0.763,0.807,0.28,0.348,-3.714,0.035,0.559,103.038
90,90,12/30/2019 00:41,Full Crate,L'Afrique,71030,,,,,,,,,,,,,,
91,91,12/30/2019 00:41,LMFAO,Party Rock Anthem,9950,0IkKz2J93C94Ei4BvDop7P,262173.0,5.0,0.0,4.0,0.0189,0.75,0.727,0.0,0.266,-4.21,0.142,0.359,129.993
92,92,12/30/2019 00:41,LMFAO,La La La,7770,2sPva3d85R7yKf60y7QZpD,210560.0,0.0,0.0,4.0,0.0067,0.607,0.807,1.18e-06,0.251,-6.548,0.126,0.565,128.046
93,93,12/30/2019 01:03,Noizekid,Dale Tra,1160,5m2okUV1nq6wSNE0J06XHk,176756.0,6.0,1.0,4.0,0.00114,0.811,0.984,0.778,0.0549,-1.948,0.0705,0.667,109.984
94,94,12/30/2019 01:42,Anti Up,Pizza,14900,7f2zGbGUnghatkHLiOSoRf,133909.0,6.0,0.0,4.0,0.000676,0.699,0.837,0.00217,0.0962,-5.159,0.0492,0.62,125.987
