0,1,2,3,4,Cloud Cover,Maximum Temperature,Minimum Temperature,Precipitation,Relative Humidity,Snow Depth,Temperature,Visibility,Wind Chill,Wind Gust,Wind Speed
0.0,0.0,0.0,1.0,0.0,61.8,56.8,35.9,0.07,53.82,0.0,46.8,9.2,29.6,24.2,17.0
0.0,0.0,0.0,1.0,0.0,59.3,42.9,33.1,0.06,54.14,0.0,37.6,9.2,23.4,38.0,30.6
0.0,0.0,1.0,0.0,0.0,72.4,56.7,37.1,0.0,48.53,0.0,47.0,10.0,30.0,31.7,19.4
0.0,0.0,0.0,1.0,0.0,69.1,60.8,37.9,0.2,69.97,0.0,46.6,9.3,33.9,38.6,27.2
0.0,0.0,1.0,0.0,0.0,72.0,51.9,38.0,0.0,46.89,0.0,45.3,10.0,29.6,40.3,26.0
0.0,0.0,1.0,0.0,0.0,26.4,57.8,29.8,0.0,44.94,0.0,46.9,10.0,29.9,30.2,20.5
0.0,0.0,1.0,0.0,0.0,60.4,70.0,33.9,0.0,34.7,0.0,54.9,10.0,29.7,10.0,10.3
0.0,0.0,0.0,1.0,0.0,71.6,83.9,56.9,0.22,64.08,0.0,67.5,9.4,10.0,42.8,17.1
0.0,0.0,1.0,0.0,0.0,54.4,71.9,56.0,0.0,58.18,0.0,64.8,10.0,10.0,20.8,17.0
0.0,0.0,1.0,0.0,0.0,74.5,72.9,54.0,0.0,58.03,0.0,62.9,10.0,10.0,18.3,12.4
0.0,0.0,0.0,1.0,0.0,79.6,67.9,55.1,0.19,69.87,0.0,60.8,8.7,10.0,10.0,9.0
0.0,0.0,1.0,0.0,0.0,63.0,70.0,52.0,0.0,33.23,0.0,61.8,9.9,10.0,19.7,11.4
0.0,0.0,1.0,0.0,0.0,39.8,74.0,44.8,0.0,39.44,0.0,61.8,10.0,10.0,19.7,12.4
0.0,0.0,1.0,0.0,0.0,50.2,77.0,47.7,0.0,31.49,0.0,63.3,10.0,45.1,21.9,14.7
1.0,0.0,0.0,0.0,0.0,22.8,82.0,56.6,0.0,54.75,0.0,69.9,10.0,10.0,10.0,12.5
0.0,0.0,1.0,0.0,0.0,59.3,83.7,64.8,0.0,52.01,0.0,73.6,9.9,10.0,31.1,12.8
0.0,0.0,1.0,0.0,0.0,34.3,79.0,50.0,0.0,33.56,0.0,65.9,10.0,10.0,26.4,12.6
0.0,0.0,1.0,0.0,0.0,44.4,79.0,55.8,0.0,59.72,0.0,67.6,10.0,10.0,25.3,17.1
0.0,0.0,1.0,0.0,0.0,36.8,89.0,63.9,0.0,59.08,0.0,76.2,9.9,10.0,23.0,12.4
0.0,0.0,1.0,0.0,0.0,36.1,88.0,67.8,0.0,57.6,0.0,77.7,9.9,10.0,23.0,15.9
0.0,1.0,0.0,0.0,0.0,77.0,82.0,69.0,0.0,68.67,0.0,74.8,10.0,10.0,28.9,19.5
0.0,0.0,0.0,1.0,0.0,79.4,89.0,72.0,0.35,72.04,0.0,77.4,9.6,10.0,33.3,19.0
0.0,0.0,0.0,1.0,0.0,61.1,76.9,59.0,0.06,63.84,0.0,68.2,9.7,10.0,40.3,24.6
0.0,0.0,1.0,0.0,0.0,54.9,61.9,49.9,0.0,51.32,0.0,56.4,9.9,45.6,34.4,20.6
0.0,0.0,1.0,0.0,0.0,70.6,66.2,42.8,0.0,53.38,0.0,55.0,10.0,43.7,31.1,13.8
0.0,0.0,0.0,1.0,0.0,68.2,69.1,46.9,0.02,59.66,0.0,58.9,9.9,10.0,10.0,9.0
0.0,0.0,1.0,0.0,0.0,47.1,87.9,58.9,0.0,55.84,0.0,75.1,10.0,10.0,20.8,10.2
0.0,0.0,0.0,1.0,0.0,68.7,83.8,70.8,0.07,62.67,0.0,76.8,9.8,10.0,20.8,14.7
0.0,0.0,1.0,0.0,0.0,44.6,84.8,61.9,0.0,58.41,0.0,75.6,10.0,10.0,36.8,22.8
0.0,0.0,1.0,0.0,0.0,53.4,72.9,55.0,0.0,51.72,0.0,64.5,10.0,10.0,30.0,13.6
0.0,0.0,1.0,0.0,0.0,41.5,79.9,49.8,0.0,47.34,0.0,66.3,10.0,10.0,25.3,13.6
0.0,0.0,1.0,0.0,0.0,61.4,87.9,60.9,0.0,45.39,0.0,71.9,10.0,10.0,17.2,10.1
0.0,0.0,0.0,1.0,0.0,64.9,84.7,59.1,0.02,57.77,0.0,74.3,10.0,10.0,25.9,14.8
0.0,0.0,0.0,1.0,0.0,61.7,87.8,68.9,0.46,67.11,0.0,77.1,9.2,10.0,26.4,18.2
0.0,0.0,1.0,0.0,0.0,35.3,79.8,56.8,0.0,53.33,0.0,69.2,10.0,10.0,27.7,17.8
0.0,0.0,1.0,0.0,0.0,49.5,64.0,48.7,0.0,53.5,0.0,57.2,9.9,46.9,17.2,13.8
0.0,0.0,1.0,0.0,0.0,49.5,70.0,44.7,0.0,60.47,0.0,57.2,10.0,10.0,10.0,10.1
0.0,0.0,1.0,0.0,0.0,51.6,76.9,49.9,0.0,55.94,0.0,64.0,10.0,10.0,10.0,7.9
